sample_id,y_true,y_pred,y_proba,risk_level,top_positive_shap_features,top_negative_shap_features,note
11621,0,1,0.9950384497642517,Critical,ck_000: 0.8571; aa_000: 0.7740; ay_005: 0.5889; ai_000: 0.5271; ci_000: 0.5027; ee_005: 0.4190; aq_000: 0.3145; az_003: 0.2230; az_002: 0.2213; bs_000: 0.2023,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
14218,0,1,0.992693305015564,Critical,ck_000: 0.6415; prefix_ay_zero_count: 0.5648; ay_002: 0.5477; ai_000: 0.5436; aa_000: 0.5068; ci_000: 0.3201; ay_000: 0.3166; cb_000: 0.2443; ay_008: 0.2251; az_001: 0.2246,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
4718,0,1,0.9925772547721863,Critical,ck_000: 0.9659; aa_000: 0.9278; ay_005: 0.6938; ci_000: 0.5270; ai_000: 0.4924; ee_005: 0.3947; aq_000: 0.2939; az_001: 0.1981; az_002: 0.1738; cc_000: 0.1377,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
5106,0,1,0.9911227226257324,Critical,aa_000: 0.8727; ck_000: 0.7756; ay_005: 0.5163; ci_000: 0.4962; ai_000: 0.4866; ee_005: 0.3737; aq_000: 0.2940; az_001: 0.2164; az_002: 0.2036; cs_002: 0.2022,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
1430,0,1,0.9900670051574707,Critical,aa_000: 0.8709; ck_000: 0.8241; ay_005: 0.6544; ci_000: 0.4872; ai_000: 0.4808; ee_005: 0.3774; aq_000: 0.3430; az_001: 0.2015; az_002: 0.1876; cs_002: 0.1798,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
13857,0,1,0.9896195530891418,Critical,aa_000: 0.8079; ck_000: 0.7044; ai_000: 0.5379; ci_000: 0.4820; ee_005: 0.4513; bd_000: 0.2524; az_002: 0.2259; ay_008: 0.1903; cs_002: 0.1891; aq_000: 0.1835,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
4974,0,1,0.9828983545303345,Critical,aa_000: 0.8438; ck_000: 0.7933; ai_000: 0.6150; ee_005: 0.3490; ci_000: 0.3140; bd_000: 0.2777; az_002: 0.2172; ay_008: 0.2054; az_001: 0.1834; cs_002: 0.1702,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
5085,0,1,0.9811274409294128,Critical,ck_000: 1.2243; aa_000: 0.8223; ai_000: 0.6233; ay_006: 0.4380; ci_000: 0.4200; aq_000: 0.3706; bj_000: 0.2062; cs_000: 0.1518; br_000: 0.1516; bk_000: 0.1485,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
971,0,1,0.9783373475074768,Critical,aa_000: 0.8808; ck_000: 0.7504; ai_000: 0.5942; ci_000: 0.4851; ee_005: 0.3995; aq_000: 0.2801; bd_000: 0.1791; az_002: 0.1764; ay_008: 0.1679; bc_000: 0.1592,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
7371,0,1,0.9759706258773804,Critical,aa_000: 0.9581; ck_000: 0.7773; ai_000: 0.5381; ci_000: 0.4751; ee_005: 0.3912; aq_000: 0.3252; ay_008: 0.1833; ag_009: 0.1813; cs_002: 0.1792; cc_000: 0.1750,,高置信 FP 样本：模型评分被推高，但真实标签为 neg；不代表真实车辆故障。
