dataset,feature_name,non_missing_count,missing_count,missing_rate,zero_count,zero_rate,near_zero_count,near_zero_rate,unique_count,mean,std,min,p01,p05,median,p95,p99,max,skew,p99_to_median_ratio,max_to_p99_ratio
train_inner,aa_000,48000,0,0.0,311,0.006479166666666667,311,0.006479166666666667,19337,59038.214583333334,144747.6336059068,0.0,4.0,10.0,30779.0,218612.19999999736,819829.0400000019,2746564.0,6.1654601256034,26.635986874167514,3.35016676159702
train_inner,ab_000,10969,37031,0.7714791666666667,8810,0.18354166666666666,8810,0.18354166666666666,26,0.7101832436867536,3.449855340729824,0.0,0.0,0.0,0.0,4.0,8.0,204.0,29.50106053404505,,25.5
train_inner,ac_000,45339,2661,0.0554375,6954,0.144875,6954,0.144875,1899,358196263.8175963,796818533.4032396,0.0,0.0,0.0,152.0,2130706434.0,2130706446.0,2130706796.0,1.7750299004504677,14017805.565789474,1.000000164264768
train_inner,ad_000,36130,11870,0.24729166666666666,1598,0.033291666666666664,1598,0.033291666666666664,1754,238046.20481594242,45161750.834385864,0.0,0.0,2.0,126.0,1552.0,4119.419999999998,8584297742.0,190.07892904887586,32.69380952380951,2083860.7721475363
train_inner,ae_000,46014,1986,0.041375,44446,0.9259583333333333,44446,0.9259583333333333,304,7.213500239057678,177.3879695556185,0.0,0.0,0.0,0.0,0.0,120.0,21050.0,85.1845653891604,,175.41666666666666
train_inner,af_000,46014,1986,0.041375,44393,0.9248541666666666,44393,0.9248541666666666,370,11.365453992263225,223.46464202003915,0.0,0.0,0.0,0.0,0.0,178.0,20070.0,51.562770342203585,,112.75280898876404
train_inner,ag_000,47474,526,0.010958333333333334,47318,0.9857916666666666,47318,0.9857916666666666,133,253.45346926738847,22745.11893527046,0.0,0.0,0.0,0.0,0.0,0.0,3376892.0,139.62033699225998,,
train_inner,ag_001,47474,526,0.010958333333333334,46880,0.9766666666666667,46880,0.9766666666666667,518,1021.5988962379407,37043.08645128286,0.0,0.0,0.0,0.0,0.0,398.5399999999936,4109372.0,73.15551232488149,,10311.065388668807
train_inner,ag_002,47474,526,0.010958333333333334,44935,0.9361458333333333,44935,0.9361458333333333,2025,8554.927075873109,154364.03535261384,0.0,0.0,0.0,0.0,136.6999999999971,99127.69999999837,10552856.0,37.86217754637794,,106.45718603377435
train_inner,ag_003,47474,526,0.010958333333333334,37579,0.7828958333333333,37579,0.7828958333333333,6666,88936.4085604752,768949.2348342924,0.0,0.0,0.0,0.0,131558.09999999998,2312900.0,63402074.0,25.285683384699013,,27.412371481689654
train_inner,ag_004,47474,526,0.010958333333333334,1039,0.021645833333333333,1039,0.021645833333333333,19722,440667.18650208536,2419888.7132332,0.0,0.0,16.0,3622.0,1767563.2999999968,10837357.779999979,228830570.0,24.557476352491367,2992.0921535063444,21.11497789823826
train_inner,ag_005,47474,526,0.010958333333333334,1542,0.032125,1542,0.032125,34471,1106680.833761638,3280071.2914084573,0.0,0.0,692.0,175821.0,4605896.899999986,17290156.319999926,179187978.0,9.612829315201212,98.33954032794675,10.363583456601205
train_inner,ag_006,47474,526,0.010958333333333334,979,0.020395833333333332,979,0.020395833333333332,34135,1647973.954080128,3887936.8311069044,0.0,0.0,1232.0,930756.0,5174393.299999998,17621387.659999654,94020666.0,8.39335921961228,18.932338507621388,5.335599432581908
train_inner,ag_007,47474,526,0.010958333333333334,12686,0.26429166666666665,12686,0.26429166666666665,26991,496221.20735560515,1423304.7434372245,0.0,0.0,0.0,119986.0,1685281.9999999995,5073154.0,63346754.0,12.706568546220172,42.28121614188322,12.486660960814515
train_inner,ag_008,47474,526,0.010958333333333334,20086,0.4184583333333333,20086,0.4184583333333333,16503,35386.15650671947,224054.75809437715,0.0,0.0,0.0,1767.0,119943.49999999987,423084.0,17702522.0,37.92656540967042,239.43633276740238,41.841624831002825
train_inner,ag_009,47474,526,0.010958333333333334,32555,0.6782291666666667,32555,0.6782291666666667,4855,4939.307747398576,170107.64331217142,0.0,0.0,0.0,0.0,8306.699999999997,36269.659999999814,25198514.0,107.25963116199793,,694.7546241128296
train_inner,ah_000,47478,522,0.010875,115,0.002395833333333333,115,0.002395833333333333,36573,1801629.4229748514,4185020.4364266675,0.0,674.0,1804.0,1001303.0,6721995.000000001,23990314.940000087,74247318.0,5.606337946709503,23.95909623760249,3.094887173665413
train_inner,ai_000,47487,513,0.0106875,42895,0.8936458333333334,42895,0.8936458333333334,3417,9319.905995325036,173837.77773454206,0.0,0.0,0.0,0.0,7581.399999999994,123556.19999999952,16512852.0,47.32186174614665,,133.64648637624066
train_inner,aj_000,47487,513,0.0106875,37525,0.7817708333333333,37525,0.7817708333333333,792,1066.4130814749299,50329.48640943813,0.0,0.0,0.0,0.0,216.0,1008.8399999999965,5629340.0,79.59012466876844,,5580.012687839519
train_inner,ak_000,44478,3522,0.073375,44186,0.9205416666666667,44186,0.9205416666666667,132,1119.1032420522506,83960.48414592228,0.0,0.0,0.0,0.0,0.0,0.0,10444924.0,104.26416534158558,,
train_inner,al_000,47481,519,0.0108125,30092,0.6269166666666667,30092,0.6269166666666667,7861,59720.26616962574,548538.6625529225,0.0,0.0,0.0,0.0,144912.0,1421058.0,34762578.0,29.21969282876962,,24.46246247514176
train_inner,am_0,47487,513,0.0106875,29942,0.6237916666666666,29942,0.6237916666666666,9173,94061.72775707036,860500.7371523859,0.0,0.0,0.0,0.0,226632.0,2171528.0,55903508.0,28.447765290814893,,25.743857781248963
train_inner,an_000,47481,519,0.0108125,111,0.0023125,111,0.0023125,40101,3442907.7776794927,7776671.565400307,0.0,3717.6,8554.0,1917814.0,12589998.0,44781029.59999995,140861830.0,5.642848741169489,23.350037907742852,3.1455692568533564
train_inner,ao_000,47515,485,0.010104166666666666,120,0.0025,120,0.0025,39743,2986154.931958329,6805411.651341524,0.0,1886.28,6158.0,1643584.0,10966150.999999985,38767180.0,122201822.0,5.742785522255942,23.58697821346521,3.152197864275916
train_inner,ap_000,47481,519,0.0108125,97,0.0020208333333333332,97,0.0020208333333333332,37599,999015.3419262442,3088321.1218378,0.0,3389.2,6866.0,356342.0,3473758.0,15923546.399999924,77934944.0,7.9375537433042185,44.686134107121596,4.8943207776880895
train_inner,aq_000,47515,485,0.010104166666666666,192,0.004,192,0.004,29703,439918.57396611595,1260808.7814342438,0.0,76.0,372.0,177994.0,1510849.399999999,6569014.640000007,25562646.0,7.954108319373971,36.90582064563978,3.8913973253072203
train_inner,ar_000,45830,2170,0.045208333333333336,43959,0.9158125,43959,0.9158125,66,0.4957887846388828,5.604450432839835,0.0,0.0,0.0,0.0,0.0,12.0,350.0,28.788419988037877,,29.166666666666668
train_inner,as_000,47487,513,0.0106875,47469,0.9889375,47469,0.9889375,18,137.91665087287046,11978.46774333169,0.0,0.0,0.0,0.0,0.0,0.0,1655240.0,106.45965241019087,,
train_inner,at_000,47487,513,0.0106875,42713,0.8898541666666666,42713,0.8898541666666666,3044,5034.115273653842,117662.94760427176,0.0,0.0,0.0,0.0,3645.399999999994,51822.719999999914,10400504.0,58.800910407724245,,200.69390414088681
train_inner,au_000,47487,513,0.0106875,47436,0.98825,47436,0.98825,49,229.56560742940172,16318.788454632111,0.0,0.0,0.0,0.0,0.0,0.0,2626676.0,114.22724740527858,,
train_inner,av_000,46013,1987,0.04139583333333333,7947,0.1655625,7947,0.1655625,3534,1123.4188598874232,6851.041326215008,0.0,0.0,0.0,116.0,4109.200000000012,15145.999999999869,794458.0,49.717820615468575,130.56896551724026,52.453321008847674
train_inner,ax_000,46012,1988,0.041416666666666664,8128,0.16933333333333334,8128,0.16933333333333334,2050,376.4714422324611,1519.6227826128666,0.0,0.0,0.0,66.0,1504.0,5221.779999999999,116652.0,22.765120785212236,79.11787878787877,22.33950874988989
train_inner,ay_000,47475,525,0.0109375,47019,0.9795625,47019,0.9795625,383,12186.184644549763,470677.50742422935,0.0,0.0,0.0,0.0,0.0,0.0,50553892.0,61.73282978685175,,
train_inner,ay_001,47475,525,0.0109375,46565,0.9701041666666667,46565,0.9701041666666667,755,10428.884507635597,555251.6420805391,0.0,0.0,0.0,0.0,0.0,10298.0,80525378.0,102.7581819256961,,7819.5162167411145
train_inner,ay_002,47475,525,0.0109375,46539,0.9695625,46539,0.9695625,813,11501.368425487099,451069.1177845343,0.0,0.0,0.0,0.0,0.0,9557.040000000008,28474838.0,51.94829119986087,,2979.462051011608
train_inner,ay_003,47475,525,0.0109375,46467,0.9680625,46467,0.9680625,863,7428.570868878357,214038.02562867076,0.0,0.0,0.0,0.0,0.0,15404.0,13945170.0,40.21321510852547,,905.2953778239419
train_inner,ay_004,47475,525,0.0109375,45735,0.9528125,45735,0.9528125,1467,10206.918883622959,310672.30174364883,0.0,0.0,0.0,0.0,0.0,20658.600000000224,30868706.0,50.31139747995655,,1494.230296341459
train_inner,ay_005,47475,525,0.0109375,24206,0.5042916666666667,24206,0.5042916666666667,16915,109437.67625065825,1308808.008332194,0.0,0.0,0.0,0.0,259509.7999999998,1093408.0,89966952.0,34.72927246063676,,82.28122713570781
train_inner,ay_006,47475,525,0.0109375,13321,0.2775208333333333,13321,0.2775208333333333,28861,1072785.2152080042,3317147.4580196636,0.0,0.0,0.0,168384.0,3568957.799999986,10104110.600000087,127680326.0,13.338549508245052,60.0063580862795,12.636473516036029
train_inner,ay_007,47475,525,0.0109375,5979,0.1245625,5979,0.1245625,32431,1538707.2613796736,5175554.618919694,0.0,0.0,0.0,345488.0,5708577.599999989,22698950.52000007,489678156.0,24.07074325112592,65.70112571203651,21.572722296942498
train_inner,ay_008,47475,525,0.0109375,3970,0.08270833333333333,3970,0.08270833333333333,32002,1055631.9103949447,4015515.7630913802,0.0,0.0,0.0,95076.0,4055646.799999995,19422866.320000004,104166112.0,9.56254747184458,204.28779418570412,5.363065897886486
train_inner,ay_009,47475,525,0.0109375,47040,0.98,47040,0.98,370,1287.9197893628225,108488.26121757299,0.0,0.0,0.0,0.0,0.0,0.0,18824656.0,145.90057707502393,,
train_inner,az_000,47475,525,0.0109375,865,0.018020833333333333,865,0.018020833333333333,8252,7833.169541864139,77407.91941363664,0.0,0.0,60.0,2100.0,21034.0,98848.40000000008,10124620.0,71.06218867399124,47.0706666666667,102.42573476151351
train_inner,az_001,47475,525,0.0109375,1162,0.02420833333333333,1162,0.02420833333333333,6596,4367.898557135334,34830.28415241663,0.0,0.0,6.0,638.0,13805.599999999948,65004.40000000049,4530258.0,62.750822657695785,101.88777429467162,69.69155934059796
train_inner,az_002,47475,525,0.0109375,1016,0.021166666666666667,1016,0.021166666666666667,8071,7754.5938283307005,92499.9305476265,0.0,0.0,10.0,1014.0,21897.799999999974,107424.44000000019,14217662.0,95.0056677862074,105.94126232741637,132.35034783518512
train_inner,az_003,47475,525,0.0109375,935,0.019479166666666665,935,0.019479166666666665,18655,85012.18666666666,644334.6602224442,0.0,0.0,16.0,3554.0,312613.39999999834,943303.0400000036,45584242.0,34.689092018704656,265.4201012943173,48.324069855642385
train_inner,az_004,47475,525,0.0109375,905,0.01885416666666667,905,0.01885416666666667,28766,1469955.7532596104,4205855.510033867,0.0,0.0,38.0,80784.0,5195521.199999992,19743248.520000104,123047106.0,9.057933700696008,244.3955303030316,6.232363730586285
train_inner,az_005,47475,525,0.0109375,893,0.018604166666666668,893,0.018604166666666668,37342,2132932.156040021,6499994.6019133,0.0,0.0,840.0,530852.0,7983702.199999998,33501537.12,467832334.0,13.90691652729066,63.10899670718016,13.964503548725528
train_inner,az_006,47475,525,0.0109375,6926,0.14429166666666668,6926,0.14429166666666668,10725,103062.82999473407,927804.2852829779,0.0,0.0,0.0,294.0,129620.19999999872,2538280.5600000117,64589140.0,25.83277448308177,8633.607346938816,25.44602082915519
train_inner,az_007,47475,525,0.0109375,36137,0.7528541666666667,36137,0.7528541666666667,3302,17989.56524486572,296474.02534110646,0.0,0.0,0.0,0.0,5262.399999999965,335488.00000000675,39158218.0,64.68500576743256,,116.72017479015408
train_inner,az_008,47475,525,0.0109375,43427,0.9047291666666667,43427,0.9047291666666667,1088,667.8634649815692,15516.922113240425,0.0,0.0,0.0,0.0,6.0,6517.560000000012,1947884.0,65.3165411118194,,298.8670606791493
train_inner,az_009,47475,525,0.0109375,46003,0.9583958333333333,46003,0.9583958333333333,278,47.87934702474987,3628.4429821974495,0.0,0.0,0.0,0.0,0.0,22.0,666148.0,147.73532295443587,,30279.454545454544
train_inner,ba_000,47460,540,0.01125,859,0.017895833333333333,859,0.017895833333333333,37573,1396473.825495154,3806945.8277100055,0.0,0.0,3725.9000000000005,678385.0,4875446.399999982,18277827.07999989,232871714.0,11.975881895148225,26.943147445771782,12.740667311313759
train_inner,ba_001,47460,540,0.01125,895,0.018645833333333334,895,0.018645833333333334,33719,892319.9698272229,2352223.8374701324,0.0,0.0,262.0,442983.0,3055278.2999999914,12250563.879999995,116283282.0,9.989408807602985,27.65470431145212,9.492075886387692
train_inner,ba_002,47460,540,0.01125,922,0.019208333333333334,922,0.019208333333333334,30473,413172.14787189214,1202430.1247253045,0.0,0.0,86.0,185757.0,1419640.0,6155312.379999996,55807388.0,9.4464024316414,33.13636837373556,9.066540340232097
train_inner,ba_003,47460,540,0.01125,949,0.019770833333333335,949,0.019770833333333335,27954,273517.7115887063,750480.4579843223,0.0,0.0,60.0,133890.0,922921.8999999858,3886522.879999985,36931418.0,9.765253303670598,29.02773082381048,9.502431643989226
train_inner,ba_004,47460,540,0.01125,974,0.020291666666666666,974,0.020291666666666666,26085,204046.32267172355,536965.1752137805,0.0,0.0,30.0,101894.0,697360.2999999985,2727800.459999993,25158556.0,9.519638875559602,26.770962568944128,9.223019194006612
