dataset,feature_name,missing_rate,zero_rate,near_zero_rate,non_missing_count
train_inner,aa_000,0.0,0.006479166666666667,0.006479166666666667,48000
train_inner,ab_000,0.7714791666666667,0.18354166666666666,0.18354166666666666,10969
train_inner,ac_000,0.0554375,0.144875,0.144875,45339
train_inner,ad_000,0.24729166666666666,0.033291666666666664,0.033291666666666664,36130
train_inner,ae_000,0.041375,0.9259583333333333,0.9259583333333333,46014
train_inner,af_000,0.041375,0.9248541666666666,0.9248541666666666,46014
train_inner,ag_000,0.010958333333333334,0.9857916666666666,0.9857916666666666,47474
train_inner,ag_001,0.010958333333333334,0.9766666666666667,0.9766666666666667,47474
train_inner,ag_002,0.010958333333333334,0.9361458333333333,0.9361458333333333,47474
train_inner,ag_003,0.010958333333333334,0.7828958333333333,0.7828958333333333,47474
train_inner,ag_004,0.010958333333333334,0.021645833333333333,0.021645833333333333,47474
train_inner,ag_005,0.010958333333333334,0.032125,0.032125,47474
train_inner,ag_006,0.010958333333333334,0.020395833333333332,0.020395833333333332,47474
train_inner,ag_007,0.010958333333333334,0.26429166666666665,0.26429166666666665,47474
train_inner,ag_008,0.010958333333333334,0.4184583333333333,0.4184583333333333,47474
train_inner,ag_009,0.010958333333333334,0.6782291666666667,0.6782291666666667,47474
train_inner,ah_000,0.010875,0.002395833333333333,0.002395833333333333,47478
train_inner,ai_000,0.0106875,0.8936458333333334,0.8936458333333334,47487
train_inner,aj_000,0.0106875,0.7817708333333333,0.7817708333333333,47487
train_inner,ak_000,0.073375,0.9205416666666667,0.9205416666666667,44478
train_inner,al_000,0.0108125,0.6269166666666667,0.6269166666666667,47481
train_inner,am_0,0.0106875,0.6237916666666666,0.6237916666666666,47487
train_inner,an_000,0.0108125,0.0023125,0.0023125,47481
train_inner,ao_000,0.010104166666666666,0.0025,0.0025,47515
train_inner,ap_000,0.0108125,0.0020208333333333332,0.0020208333333333332,47481
train_inner,aq_000,0.010104166666666666,0.004,0.004,47515
train_inner,ar_000,0.045208333333333336,0.9158125,0.9158125,45830
train_inner,as_000,0.0106875,0.9889375,0.9889375,47487
train_inner,at_000,0.0106875,0.8898541666666666,0.8898541666666666,47487
train_inner,au_000,0.0106875,0.98825,0.98825,47487
train_inner,av_000,0.04139583333333333,0.1655625,0.1655625,46013
train_inner,ax_000,0.041416666666666664,0.16933333333333334,0.16933333333333334,46012
train_inner,ay_000,0.0109375,0.9795625,0.9795625,47475
train_inner,ay_001,0.0109375,0.9701041666666667,0.9701041666666667,47475
train_inner,ay_002,0.0109375,0.9695625,0.9695625,47475
train_inner,ay_003,0.0109375,0.9680625,0.9680625,47475
train_inner,ay_004,0.0109375,0.9528125,0.9528125,47475
train_inner,ay_005,0.0109375,0.5042916666666667,0.5042916666666667,47475
train_inner,ay_006,0.0109375,0.2775208333333333,0.2775208333333333,47475
train_inner,ay_007,0.0109375,0.1245625,0.1245625,47475
train_inner,ay_008,0.0109375,0.08270833333333333,0.08270833333333333,47475
train_inner,ay_009,0.0109375,0.98,0.98,47475
train_inner,az_000,0.0109375,0.018020833333333333,0.018020833333333333,47475
train_inner,az_001,0.0109375,0.02420833333333333,0.02420833333333333,47475
train_inner,az_002,0.0109375,0.021166666666666667,0.021166666666666667,47475
train_inner,az_003,0.0109375,0.019479166666666665,0.019479166666666665,47475
train_inner,az_004,0.0109375,0.01885416666666667,0.01885416666666667,47475
train_inner,az_005,0.0109375,0.018604166666666668,0.018604166666666668,47475
train_inner,az_006,0.0109375,0.14429166666666668,0.14429166666666668,47475
train_inner,az_007,0.0109375,0.7528541666666667,0.7528541666666667,47475
train_inner,az_008,0.0109375,0.9047291666666667,0.9047291666666667,47475
train_inner,az_009,0.0109375,0.9583958333333333,0.9583958333333333,47475
train_inner,ba_000,0.01125,0.017895833333333333,0.017895833333333333,47460
train_inner,ba_001,0.01125,0.018645833333333334,0.018645833333333334,47460
train_inner,ba_002,0.01125,0.019208333333333334,0.019208333333333334,47460
train_inner,ba_003,0.01125,0.019770833333333335,0.019770833333333335,47460
train_inner,ba_004,0.01125,0.020291666666666666,0.020291666666666666,47460
train_inner,ba_005,0.01125,0.022020833333333333,0.022020833333333333,47460
train_inner,ba_006,0.01125,0.033125,0.033125,47460
train_inner,ba_007,0.01125,0.13377083333333334,0.13377083333333334,47460
train_inner,ba_008,0.01125,0.4129791666666667,0.4129791666666667,47460
train_inner,ba_009,0.01125,0.6605416666666667,0.6605416666666667,47460
train_inner,bb_000,0.010875,0.0019166666666666666,0.0019166666666666666,47478
train_inner,bc_000,0.04522916666666667,0.3209375,0.3209375,45829
train_inner,bd_000,0.04525,0.0668125,0.0668125,45828
train_inner,be_000,0.04139583333333333,0.11614583333333334,0.11614583333333334,46013
