sample_id,model_name,strategy,y_true,y_proba,threshold,y_pred,prediction_type,risk_level,suggested_action
11829,xgboost_scale_pos_weight,median_all,1,0.9997733235359192,0.2,1,TP,Critical,立即检修
9397,xgboost_scale_pos_weight,median_all,1,0.9997610449790956,0.2,1,TP,Critical,立即检修
14426,xgboost_scale_pos_weight,median_all,1,0.999622106552124,0.2,1,TP,Critical,立即检修
15299,xgboost_scale_pos_weight,median_all,1,0.9996057152748108,0.2,1,TP,Critical,立即检修
9796,xgboost_scale_pos_weight,median_all,1,0.9995348453521729,0.2,1,TP,Critical,立即检修
13605,xgboost_scale_pos_weight,median_all,1,0.9995331764221193,0.2,1,TP,Critical,立即检修
3337,xgboost_scale_pos_weight,median_all,1,0.9995248317718506,0.2,1,TP,Critical,立即检修
3582,xgboost_scale_pos_weight,median_all,1,0.9995183944702148,0.2,1,TP,Critical,立即检修
4406,xgboost_scale_pos_weight,median_all,1,0.9994841814041138,0.2,1,TP,Critical,立即检修
11539,xgboost_scale_pos_weight,median_all,1,0.9994655251502992,0.2,1,TP,Critical,立即检修
4269,xgboost_scale_pos_weight,median_all,1,0.9994459748268129,0.2,1,TP,Critical,立即检修
6160,xgboost_scale_pos_weight,median_all,1,0.9994294047355652,0.2,1,TP,Critical,立即检修
9323,xgboost_scale_pos_weight,median_all,1,0.9994256496429444,0.2,1,TP,Critical,立即检修
10562,xgboost_scale_pos_weight,median_all,1,0.999398946762085,0.2,1,TP,Critical,立即检修
5978,xgboost_scale_pos_weight,median_all,1,0.9993370175361632,0.2,1,TP,Critical,立即检修
2285,xgboost_scale_pos_weight,median_all,1,0.9993329644203186,0.2,1,TP,Critical,立即检修
1162,xgboost_scale_pos_weight,median_all,1,0.999330759048462,0.2,1,TP,Critical,立即检修
10682,xgboost_scale_pos_weight,median_all,1,0.9993174076080322,0.2,1,TP,Critical,立即检修
5634,xgboost_scale_pos_weight,median_all,1,0.9993098974227904,0.2,1,TP,Critical,立即检修
9197,xgboost_scale_pos_weight,median_all,1,0.9992801547050476,0.2,1,TP,Critical,立即检修
729,xgboost_scale_pos_weight,median_all,1,0.9992332458496094,0.2,1,TP,Critical,立即检修
12135,xgboost_scale_pos_weight,median_all,1,0.999122440814972,0.2,1,TP,Critical,立即检修
1797,xgboost_scale_pos_weight,median_all,1,0.9991126656532288,0.2,1,TP,Critical,立即检修
12232,xgboost_scale_pos_weight,median_all,1,0.9990891218185424,0.2,1,TP,Critical,立即检修
9276,xgboost_scale_pos_weight,median_all,1,0.9990737438201904,0.2,1,TP,Critical,立即检修
6259,xgboost_scale_pos_weight,median_all,1,0.999031662940979,0.2,1,TP,Critical,立即检修
9941,xgboost_scale_pos_weight,median_all,1,0.9990179538726808,0.2,1,TP,Critical,立即检修
9419,xgboost_scale_pos_weight,median_all,1,0.9990130662918092,0.2,1,TP,Critical,立即检修
10841,xgboost_scale_pos_weight,median_all,1,0.9989957213401794,0.2,1,TP,Critical,立即检修
2779,xgboost_scale_pos_weight,median_all,1,0.9989750385284424,0.2,1,TP,Critical,立即检修
13630,xgboost_scale_pos_weight,median_all,1,0.998891055583954,0.2,1,TP,Critical,立即检修
5070,xgboost_scale_pos_weight,median_all,1,0.9988666772842408,0.2,1,TP,Critical,立即检修
2529,xgboost_scale_pos_weight,median_all,1,0.9988579750061036,0.2,1,TP,Critical,立即检修
3650,xgboost_scale_pos_weight,median_all,1,0.9988228678703308,0.2,1,TP,Critical,立即检修
13898,xgboost_scale_pos_weight,median_all,1,0.9988191723823548,0.2,1,TP,Critical,立即检修
3295,xgboost_scale_pos_weight,median_all,1,0.9987874627113342,0.2,1,TP,Critical,立即检修
3364,xgboost_scale_pos_weight,median_all,1,0.9987828135490416,0.2,1,TP,Critical,立即检修
6843,xgboost_scale_pos_weight,median_all,1,0.9987455606460572,0.2,1,TP,Critical,立即检修
7988,xgboost_scale_pos_weight,median_all,1,0.9987383484840392,0.2,1,TP,Critical,立即检修
11784,xgboost_scale_pos_weight,median_all,1,0.9986878037452698,0.2,1,TP,Critical,立即检修
1278,xgboost_scale_pos_weight,median_all,1,0.9986857771873474,0.2,1,TP,Critical,立即检修
14089,xgboost_scale_pos_weight,median_all,1,0.9986854195594788,0.2,1,TP,Critical,立即检修
2801,xgboost_scale_pos_weight,median_all,1,0.9986822009086608,0.2,1,TP,Critical,立即检修
9622,xgboost_scale_pos_weight,median_all,1,0.9985878467559814,0.2,1,TP,Critical,立即检修
4010,xgboost_scale_pos_weight,median_all,1,0.998572826385498,0.2,1,TP,Critical,立即检修
13852,xgboost_scale_pos_weight,median_all,1,0.9985692501068116,0.2,1,TP,Critical,立即检修
15417,xgboost_scale_pos_weight,median_all,1,0.998563587665558,0.2,1,TP,Critical,立即检修
10938,xgboost_scale_pos_weight,median_all,1,0.9985392093658448,0.2,1,TP,Critical,立即检修
3686,xgboost_scale_pos_weight,median_all,1,0.9985306262969972,0.2,1,TP,Critical,立即检修
2532,xgboost_scale_pos_weight,median_all,1,0.9985200762748718,0.2,1,TP,Critical,立即检修
13665,xgboost_scale_pos_weight,median_all,1,0.998443067073822,0.2,1,TP,Critical,立即检修
12471,xgboost_scale_pos_weight,median_all,1,0.998439610004425,0.2,1,TP,Critical,立即检修
1567,xgboost_scale_pos_weight,median_all,1,0.9983735084533693,0.2,1,TP,Critical,立即检修
5213,xgboost_scale_pos_weight,median_all,1,0.9983697533607484,0.2,1,TP,Critical,立即检修
3989,xgboost_scale_pos_weight,median_all,1,0.9983028173446656,0.2,1,TP,Critical,立即检修
9373,xgboost_scale_pos_weight,median_all,1,0.9982132911682128,0.2,1,TP,Critical,立即检修
6512,xgboost_scale_pos_weight,median_all,1,0.9982072114944458,0.2,1,TP,Critical,立即检修
9649,xgboost_scale_pos_weight,median_all,1,0.9981880784034728,0.2,1,TP,Critical,立即检修
15421,xgboost_scale_pos_weight,median_all,1,0.9981310963630676,0.2,1,TP,Critical,立即检修
12965,xgboost_scale_pos_weight,median_all,1,0.9981033802032472,0.2,1,TP,Critical,立即检修
7656,xgboost_scale_pos_weight,median_all,1,0.9980764389038086,0.2,1,TP,Critical,立即检修
11022,xgboost_scale_pos_weight,median_all,1,0.9980138540267944,0.2,1,TP,Critical,立即检修
14907,xgboost_scale_pos_weight,median_all,1,0.9979389309883118,0.2,1,TP,Critical,立即检修
12991,xgboost_scale_pos_weight,median_all,1,0.9979190230369568,0.2,1,TP,Critical,立即检修
11520,xgboost_scale_pos_weight,median_all,1,0.9978906512260436,0.2,1,TP,Critical,立即检修
9595,xgboost_scale_pos_weight,median_all,1,0.9978526830673218,0.2,1,TP,Critical,立即检修
13330,xgboost_scale_pos_weight,median_all,1,0.997761845588684,0.2,1,TP,Critical,立即检修
12167,xgboost_scale_pos_weight,median_all,1,0.9976048469543456,0.2,1,TP,Critical,立即检修
10551,xgboost_scale_pos_weight,median_all,1,0.9976027607917786,0.2,1,TP,Critical,立即检修
10839,xgboost_scale_pos_weight,median_all,1,0.9975636005401612,0.2,1,TP,Critical,立即检修
7499,xgboost_scale_pos_weight,median_all,1,0.997559666633606,0.2,1,TP,Critical,立即检修
1882,xgboost_scale_pos_weight,median_all,1,0.9974495768547058,0.2,1,TP,Critical,立即检修
9180,xgboost_scale_pos_weight,median_all,1,0.997395396232605,0.2,1,TP,Critical,立即检修
7132,xgboost_scale_pos_weight,median_all,1,0.9973620772361756,0.2,1,TP,Critical,立即检修
6498,xgboost_scale_pos_weight,median_all,1,0.9973379969596864,0.2,1,TP,Critical,立即检修
1463,xgboost_scale_pos_weight,median_all,1,0.9973094463348388,0.2,1,TP,Critical,立即检修
2937,xgboost_scale_pos_weight,median_all,1,0.9973033666610718,0.2,1,TP,Critical,立即检修
7381,xgboost_scale_pos_weight,median_all,1,0.9972670078277588,0.2,1,TP,Critical,立即检修
2072,xgboost_scale_pos_weight,median_all,1,0.99720698595047,0.2,1,TP,Critical,立即检修
11295,xgboost_scale_pos_weight,median_all,1,0.9971902966499328,0.2,1,TP,Critical,立即检修
3847,xgboost_scale_pos_weight,median_all,1,0.9971675276756288,0.2,1,TP,Critical,立即检修
7224,xgboost_scale_pos_weight,median_all,1,0.9971137046813964,0.2,1,TP,Critical,立即检修
13144,xgboost_scale_pos_weight,median_all,1,0.99702125787735,0.2,1,TP,Critical,立即检修
11533,xgboost_scale_pos_weight,median_all,1,0.996980369091034,0.2,1,TP,Critical,立即检修
891,xgboost_scale_pos_weight,median_all,1,0.9969070553779602,0.2,1,TP,Critical,立即检修
1228,xgboost_scale_pos_weight,median_all,1,0.996895432472229,0.2,1,TP,Critical,立即检修
9582,xgboost_scale_pos_weight,median_all,1,0.99689519405365,0.2,1,TP,Critical,立即检修
4368,xgboost_scale_pos_weight,median_all,1,0.9968096613883972,0.2,1,TP,Critical,立即检修
3535,xgboost_scale_pos_weight,median_all,1,0.9967844486236572,0.2,1,TP,Critical,立即检修
13479,xgboost_scale_pos_weight,median_all,1,0.9967511892318726,0.2,1,TP,Critical,立即检修
3894,xgboost_scale_pos_weight,median_all,1,0.996748685836792,0.2,1,TP,Critical,立即检修
12362,xgboost_scale_pos_weight,median_all,1,0.996679663658142,0.2,1,TP,Critical,立即检修
4109,xgboost_scale_pos_weight,median_all,1,0.9965959191322328,0.2,1,TP,Critical,立即检修
9532,xgboost_scale_pos_weight,median_all,1,0.9965029954910278,0.2,1,TP,Critical,立即检修
6982,xgboost_scale_pos_weight,median_all,1,0.9964221715927124,0.2,1,TP,Critical,立即检修
10760,xgboost_scale_pos_weight,median_all,1,0.9963198900222778,0.2,1,TP,Critical,立即检修
7953,xgboost_scale_pos_weight,median_all,1,0.996190071105957,0.2,1,TP,Critical,立即检修
6905,xgboost_scale_pos_weight,median_all,1,0.9961242079734802,0.2,1,TP,Critical,立即检修
835,xgboost_scale_pos_weight,median_all,1,0.9960201382637024,0.2,1,TP,Critical,立即检修
2588,xgboost_scale_pos_weight,median_all,1,0.995972454547882,0.2,1,TP,Critical,立即检修
1830,xgboost_scale_pos_weight,median_all,1,0.9959652423858644,0.2,1,TP,Critical,立即检修
13569,xgboost_scale_pos_weight,median_all,1,0.9959548711776732,0.2,1,TP,Critical,立即检修
834,xgboost_scale_pos_weight,median_all,1,0.9959293007850648,0.2,1,TP,Critical,立即检修
10335,xgboost_scale_pos_weight,median_all,1,0.9958462119102478,0.2,1,TP,Critical,立即检修
1852,xgboost_scale_pos_weight,median_all,1,0.995784342288971,0.2,1,TP,Critical,立即检修
6320,xgboost_scale_pos_weight,median_all,1,0.9957730174064636,0.2,1,TP,Critical,立即检修
909,xgboost_scale_pos_weight,median_all,1,0.9956543445587158,0.2,1,TP,Critical,立即检修
14205,xgboost_scale_pos_weight,median_all,1,0.9956091046333312,0.2,1,TP,Critical,立即检修
12128,xgboost_scale_pos_weight,median_all,1,0.9955888986587524,0.2,1,TP,Critical,立即检修
10317,xgboost_scale_pos_weight,median_all,1,0.9955384135246276,0.2,1,TP,Critical,立即检修
11381,xgboost_scale_pos_weight,median_all,1,0.9955019354820251,0.2,1,TP,Critical,立即检修
10648,xgboost_scale_pos_weight,median_all,1,0.9954937696456908,0.2,1,TP,Critical,立即检修
